"Erie",,"ER842","-105,3000","40,0000",,"N",,"USA",,,,"US","US","USA","840"
"Errol",,"EOJ42","-71,1000","44,8000",,"N",,,,,,"US","US","USA","840"
"Eureka",,"EU980","-85,9000","80,0000",,"N",,"CANADA",,,,"CA","CA","CAN","124"
"Fairford",37,"FF051","-1,8000","51,7000",,"N",,"USA",,,,"GB","UK","GBR","826"
"Fiji",,"1461Q","178,2000","-18,0000",,"N",,,,,,"FJ","FJ","FJI","242"
"Fletchers Ice",,"XC982","-124,3000","75,9000",,"N",,"USA",,,,"CA","CA","CAN","124"
"Fort Archambault",,"FA109","18,4000","9,2000",,"N",,,,,,"TD","CD","TCD","148"
"Fort Chimo",,"FCJ58","-68,4000","58,1000",,"N",,,,,,"CA","CA","CAN","124"
"Fort Monmouth",,"FMJ40","-74,1000","40,4000",,"N",,"USA",,"BELMAR",,"US","US","USA","840"
"Fort Norman",,"FN864","-125,5000","64,9000",,"N",,"CANADA",,,,"CA","CA","CAN","124"
"Fortaleza",,"FZA0M","-38,8000","-3,7000",,"N",,,,,,"BR","BR","BRA","076"
"Fraserburgh",,"15065","-2,1000","57,6000",,"N",,,,,,"GB","UK","GBR","826"
"Freiburg",,"FR048","7,6000","48,1000",,"N",,"GERMANY",,"BREISACH",,"DE","GM","DEU","276"
"Frobisher Bay",,"FBJ63","-68,6000","63,8000",,"N",,"CANADA",,,,"CA","CA","CAN","124"
"Fuji Ship",,"FJ006","0,0000","0,0000",,"N",,,,,,,,,
"Fukaura",,"16541","139,9000","40,6000",,"N",,,,,,"JP","JA","JPN","392"
"Gakona",38,"GA762","-145,1579","62,4072",,"Y",,"USA",,,,"US","US","USA","840"
"Garchy",,"GY042","3,1000","47,3000",,"N",,"FRANCE",,,,"FR","FR","FRA","250"
"Genova",,"GV044","9,0000","44,6000",,"N",,"ITALY",,,,"IT","IT","ITA","380"
"Gibilmanna",,"GM037","14,0000","37,6000",,"N",,"ITALY",,,,"IT","IT","ITA","380"
"Godhavn",,"GOJ69","-53,5000","69,3000",,"N",,"DENMARK",,,,"GL","GL","GRL","304"
"Goosebay",41,"GSJ53","-60,4620","53,3162",,"Y",,"USA",,"MELVILLE  AFB",,"CA","CA","CAN","124"
"Gorky",,"GK156","44,3000","56,1000",,"N",,"USSR",,,,"RU","RS","RUS","643"
"Grahamstown",40,"GR13L","26,5000","-33,3000",,"Y",,"S.AFRICA",,,,"ZA","SF","ZAF","710"
"Grand Bahama",,"GB926","-78,2000","26,6000",,"N",,"USA",,,,"US","US","USA","840"
"Graz",,"GZ146","15,5000","47,1000",,"N",,"AUSTRIA",,,,"AT","AU","AUT","040"
"Groote Eylandt",,"GE51M","136,4000","-13,9000",,"N",,,,,,"AU","AS","AUS","036"
"Guam",,"17513","144,9000","13,5000",,"N",,,,,,"GU","GQ","GUM","316"
"Guangzhou",,"GU421","113,4000","23,1000",,"N",,"CHINA",,,,"CN","CH","CHN","156"
"Haifa",,"HA132","35,0000","32,8000",,"N",,"ISRAEL",,,,"IL","IS","ISR","376"
"Haikou",,"HC420","110,3000","20,0000",,"N",,"CHINA",,,,"CN","CH","CHN","156"
"Hainan Is",,"HA419","109,3000","18,3000",,"N",,,,,,"CN","CH","CHN","156"
"Halley Bay",,"HBA7N","-26,6000","-75,5000",,"N",,"BAS",,,,"AQ","AY","ATA","010"
"Hankow",,"19432","114,3000","30,7000",,"N",,"CHINA",,,,"CN","CH","CHN","156"
"Hanover",,"HNJ44","-72,2000","43,7000",,"N",,"USA",,,,"US","US","USA","840"
"Hanscom Afb",,"HAJ43","-71,5000","42,6000",,"N",,"USA",,,,"US","US","USA","840"
"Havana",,"HQ924","-82,1000","23,0000",,"N",,,,,,"CU","CU","CUB","192"
"Hermanus",,"HE13N","19,2000","-34,4000",,"N",,"S. AFRICA",,,,"ZA","SF","ZAF","710"
"Highgate Springs",,"HIJ46","-73,1000","45,0000",,"N",,,,,,"US","US","USA","840"
"Hiraiso",,"20536","140,6000","36,4000",,"N",,,,,,"JP","JA","JPN","392"
"Hiratsuka",,"21533","139,3000","35,3000",,"N",,,,,,"JP","JA","JPN","392"
"Hobart",42,"HO54K","147,2000","-42,9000",,"Y",,"AUSTRALIA",,"CAMBRIDGE TUNNEL",,"AU","AS","AUS","036"
"Hollandia",,"HL50K","140,8000","-2,5000",,"N",,"NEW GUINEA",,,,"PG","PP","PNG","598"
"Hong Kong",,"HK423","114,2000","22,3000",,"N",,"CHINA",,,,"HK","HK","HKG","344"
"Huancayo",,"HU91K","-75,3000","-12,0000",,"N",,"PERU",,,,"PE","PE","PER","604"
"Huntsville",,"HV934","-86,4000","34,4000",,"N",,"USA",,,,"US","US","USA","840"
"Hyderabad",,"HY317","78,5000","17,3000",,"N",,"INDIA",,,,"IN","IN","IND","356"
"Ibadan",,"IB007","3,9000","7,4000",,"N",,"NIGERIA",,,,"NE","NG","NER","562"
"Ilo",,"ILJ1P","-71,2000","-17,4000",,"N",,"USA",,,,"PE","PE","PER","604"
"Inverness",,"IN056","-4,2000","57,4000",,"N",,"SCOTLAND",,,,"GB","UK","GBR","826"
"Irkutsk",,"IR352","104,0000","52,5000",,"N",,"USSR",,,,"RU","RS","RUS","643"
"Islamabad",,"IS233","72,9000","33,8000",,"N",,,,,,"PK","PK","PAK","586"
"Istanbul",,"IS141","29,0000","41,1000",,"N",,,,,,"TR","TU","TUR","792"
"Jamaica",,"JA918","-76,9000","18,0000",,"N",,,,,,"JM","JM","JAM","388"
"Jicamarca",43,"JI91J","-76,8000","-12,0000",,"Y",,,,,,"PE","PE","PER","604"
"Johannesburg",,"JO12O","28,1000","-26,1000",,"N",,"SOUTH AFRICA",,"PRETORIA",,"ZA","SF","ZAF","710"
"Juliaca",,"JUJ1N","-70,2000","-15,5000",,"N",,"USA",,,,"PE","PE","PER","604"
"Juliusruh/Rugen",44,"JR055","13,4000","54,6000",,"Y",,"GERMANY",,,,"DE","GM","DEU","276"
"Kaliningrad",,"KL154","20,6000","54,7000",,"N",,"USSR",,,,"RU","RS","RUS","643"
